Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
632cdb0d9d7a4c71926dc1ab,573a48e667421f000618523f,APPROVED,2022-09-22T22:00:48.845000Z,2022-09-22T22:07:09.465000Z,2022-10-13T00:00:37.327000Z,2022-09-22T22:07:09.788256Z,381.0,NOCODE,0,0.0,100.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Music, Video Games, Literature",none just my native langauge,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cdb0f9170f59cebd01037,5f2d2982d4bf7c03b5177599,APPROVED,2022-09-22T22:00:53.650000Z,2022-09-22T22:06:42.350000Z,2022-10-13T00:00:37.440000Z,2022-09-22T22:06:42.736801Z,349.0,175F631D,60,0.0,100.0,Non-binary (would like to give more detail),English,Technical/community college,No,"No, I have no issues seeing colours","Health & Fitness, Music, Sports",native language + three or more other languages,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,
632cdb1586d636ac74580c79,5ca612a8d24640001432512c,APPROVED,2022-09-22T22:00:57.511000Z,2022-09-22T22:05:48.879000Z,2022-10-13T00:00:37.545000Z,2022-09-22T22:05:49.249332Z,292.0,175F631D,918,4.0,100.0,Man (including Trans Male/Trans Man),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours",Science,none just my native langauge,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cdb17830901bebbcee5ab,5bcdb2880ba8a4000125ed43,APPROVED,2022-09-22T22:01:09.778000Z,2022-09-22T22:20:28.944000Z,2022-10-13T00:00:37.648000Z,2022-09-22T22:20:29.318916Z,1160.0,175F631D,1290,32.0,94.0,Man (including Trans Male/Trans Man),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours",Health & Fitness,none just my native langauge,42,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
632cdb1a30fc68c9418d95d6,606b5632b44fc8c52a0d7eca,APPROVED,2022-09-22T22:00:58.351000Z,2022-09-22T22:06:04.804000Z,2022-10-13T00:00:37.770000Z,2022-09-22T22:06:05.201880Z,307.0,175F631D,149,0.0,100.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Health & Fitness, Travelling, Science",none just my native langauge,22,Female,Asian,South Africa,South Africa,South Africa,English,Yes,Other,
632cdb32e4e60dbaffe269f6,57be300e7eaea600014d2e4b,APPROVED,2022-09-22T22:01:27.319000Z,2022-09-22T22:09:06.447000Z,2022-10-13T00:00:37.876000Z,2022-09-22T22:09:06.763432Z,460.0,175F631D,564,4.0,100.0,Woman (including Trans Female/Trans Woman),English,Technical/community college,No,"No, I have no issues seeing colours","Literature, Music",none just my native langauge,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdb32be50b9c8645e0da8,562cd833733ea000111632ba,APPROVED,2022-09-22T22:01:24.989000Z,2022-09-22T22:05:18.338000Z,2022-10-13T00:00:37.987000Z,2022-09-22T22:05:18.648381Z,234.0,NOCODE,1011,27.0,95.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Music, Literature",none just my native langauge,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdb7845818a3e2bbc3d47,5d108d7e98423700189f6de9,APPROVED,2022-09-22T22:02:32.381000Z,2022-09-22T22:07:19.766000Z,2022-10-13T00:00:38.091000Z,2022-09-22T22:07:20.157625Z,288.0,175F631D,300,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Music, Video Games",none just my native langauge,23,Female,Other,Canada,Canada,Canada,English,No,Full-Time,
632cdb88044553612d8388ee,6099c4aad2b9fcde1e990b4c,APPROVED,2022-09-22T22:03:00.750000Z,2022-09-22T22:08:25.871000Z,2022-10-13T00:00:38.195000Z,2022-09-22T22:08:26.273387Z,326.0,6099c4aad2b9fcde1e990b4c,23,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Don't know / not applicable,No,"No, I have no issues seeing colours","Health & Fitness, Music, Sports",none just my native langauge,42,Female,White,Ireland,Ireland,Ireland,English,No,Part-Time,
632cdb8ee391374de8b8af90,5ebc42ee1ac8730750020250,APPROVED,2022-09-22T22:03:34.779000Z,2022-09-22T22:12:48.872000Z,2022-10-13T00:00:38.311000Z,2022-09-22T22:12:49.494735Z,555.0,175F631D,223,1.0,100.0,Man (including Trans Male/Trans Man),"English, Hindi, Urdu",High school diploma/A-levels,No,"No, I have no issues seeing colours","Music, Science, Sports",native language + two other languages,39,Male,Asian,Pakistan,United Kingdom,United Kingdom,English,No,Full-Time,
632cdba4ccc59496639d0dec,5cdeb324cf83f20001233df0,APPROVED,2022-09-22T22:05:36.927000Z,2022-09-22T22:09:49.534000Z,2022-10-13T00:00:38.429000Z,2022-09-22T22:09:49.866096Z,253.0,175F631D,284,0.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Health & Fitness, Music",none just my native langauge,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cdba7753917b98dcee5a3,5c4852b342213c0001f5967a,APPROVED,2022-09-22T22:09:23.400000Z,2022-09-22T22:16:45.665000Z,2022-10-13T00:00:38.563000Z,2022-09-22T22:16:46.065543Z,443.0,175F631D,911,0.0,100.0,Man (including Trans Male/Trans Man),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Video Games, Sports, Science",none just my native langauge,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
